id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
7363,400000,120000,25,7,1,1,1,2,13.6,2523,63,7,2,0
7364,95000,120000,6,5,1,1,1,2,12,2092,127,7,3,0
7365,350000,120000,10,2,1,1,1,2,15.3,2956,83.83,7,2,0
7366,675000,120000,0,7,1,1,1,2,15.1,2179,140,7,2,0
7367,445000,120000,2,12,1,1,1,2,14.95,2489,93.7,7,3,0
7368,200000,120000,28,12,1,1,1,2,10.5,2179,120,7,3,0
7369,600000,120000,24,0,1,1,1,4,20.77,1248,88.8,7,3,0
7370,550000,120000,22,4,1,1,1,4,20.77,1248,88.76,7,3,0
7371,795000,120000,23,5,1,1,1,0,24.52,1248,88.5,7,3,0
7372,1516000,120000,23,5,1,1,0,0,11.36,2755,171.5,7,3,0
7373,750000,120000,4,13,1,1,1,0,15.1,2179,140,7,3,0
7374,404000,120000,25,7,1,1,1,4,12.8,2494,102,8,2,1
7375,200000,120000,21,6,1,1,1,0,14,2489,95,8,0,1
7376,250000,120000,13,2,1,1,1,0,13.6,2523,63,8,2,1
7377,550000,120000,11,15,1,1,1,0,15.96,2523,62.1,9,0,1
7378,160000,120000,0,7,1,1,1,4,13.6,2523,63,9,2,1
7379,250000,120000,2,12,1,1,1,0,13,2489,95,8,3,1
7380,600000,120000,10,2,1,1,1,0,15.96,2523,63,9,2,1
7381,350000,120000,9,4,1,1,1,1,14,2498,112,8,3,1
7382,220000,120000,14,8,1,1,1,2,10.5,2179,120,8,1,1
7383,850000,120000,4,13,1,1,1,2,12.99,2494,100.57,8,3,1
7384,120000,120000,20,14,3,1,1,0,16.1,796,37,4,0,1
7385,450000,120000,9,4,1,1,1,0,12.05,2179,120,9,3,1
7386,80000,120000,28,12,3,1,1,2,19.7,796,35,8,3,1
7387,625000,120000,14,8,1,1,1,2,10.5,2835,116.9,6,1,1
7388,290000,120000,1,7,1,1,1,2,12.05,2179,120,8,2,1
7389,250000,120000,5,10,1,1,1,4,10.5,2179,120,8,4,1
7390,484999,120000,27,3,1,1,1,0,12.05,2179,120,9,1,1
7391,161000,120000,11,15,1,1,1,4,14,2498,112,8,0,1
7392,650000,120000,16,2,1,1,1,0,15.96,2523,63,9,2,1
7393,440000,120000,5,10,1,1,0,4,11.79,2179,120,8,4,0
7394,250000,120000,24,0,1,1,1,2,13,2489,95,8,3,0
7395,700000,120000,16,2,1,1,1,2,12.8,2494,102,8,2,0
7396,100000,120000,27,3,3,1,1,2,16.1,796,37,4,1,0
7397,130000,120000,8,17,3,1,1,4,19.7,796,35,8,4,0
7398,750000,120000,11,15,1,1,1,0,12.8,2494,102,8,0,0
7399,245000,120000,25,7,1,1,1,0,12.8,2494,102,8,2,0
7400,300000,120000,6,5,1,1,1,2,14,2489,95,8,3,0
7401,525000,120000,20,14,1,1,1,0,12.05,2179,120,8,0,0
7402,370000,120000,7,16,1,1,1,2,12.8,2494,102,8,1,0
7403,180000,120000,16,2,1,1,1,2,13,2489,95,8,2,0
7404,100000,120000,11,15,3,1,1,2,19.7,796,35,8,0,0
7405,290000,120000,2,12,1,1,1,2,12.05,2179,120,8,3,0
7406,850000,120000,16,2,1,1,1,2,12.8,2494,102,8,2,0
7407,575000,120000,28,12,1,1,1,2,12.05,2179,120,8,3,0
7408,525000,120000,2,12,1,1,1,2,12.8,2494,102,8,3,0
7409,95000,120000,12,1,1,1,1,1,12.2,1948,68,10,1,0
7410,365000,120000,25,7,1,1,1,1,12.7,2609,120,8,2,0
7411,430000,120000,24,0,1,1,1,2,12.05,2179,120,8,3,0
7412,650000,120000,6,5,1,1,1,2,12.8,2494,102,8,3,0
7413,440000,120000,12,1,1,1,1,0,15.96,2523,62.1,9,1,0
7414,40000,120000,12,1,3,1,1,0,16.1,796,37,4,1,0
7415,150000,120000,17,9,1,1,1,0,12.2,1948,68,9,4,0
7416,350000,120000,5,10,1,1,1,0,13,2489,95,8,4,0
7417,100000,120000,27,3,1,1,1,4,14.6,2956,63,10,1,0
7418,550000,120000,1,7,1,1,1,0,15.96,2523,62.1,9,2,0
7419,385000,120000,24,0,1,1,1,2,14,2523,75,8,3,0
7420,700000,120000,9,4,1,1,1,0,12.05,2179,120,9,3,0
7421,50000,120000,18,4,3,1,1,2,16.1,796,37,4,3,0
